id,sex,grade,sleep_hours,caffeine_cups,phone_hours,exercise_hours,exam_score
S038,F,본과1,7.6,2,4.5,2.2,84.1
S039,F,예과2,5.7,3,4.6,2.6,73.0
S040,M,본과2,5.5,4,1.1,2.2,87.4
S041,F,본과1,3.9,3,5.0,2.7,60.6
S042,F,본과3,6.1,2,2.5,1.8,82.2
S043,F,본과3,5.1,4,1.8,4.2,76.3
S044,M,본과1,5.7,4,3.9,1.3,76.4
S045,M,본과3,5.3,2,4.1,3.7,69.3
S046,F,본과3,6.1,2,3.0,1.0,74.7
S047,M,본과1,4.3,2,5.2,1.9,63.4
S048,F,예과2,4.9,2,2.0,0.4,67.3
S049,M,본과2,8.6,2,3.4,2.7,90.1
S050,M,예과1,5.1,1,3.1,4.2,78.8
S051,F,예과2,5.3,3,3.9,1.9,75.6
S052,M,예과1,8.5,1,4.4,1.7,93.8
S053,M,본과3,9.4,2,2.5,0.3,97.7
S054,F,본과2,5.0,5,5.1,1.7,64.6
S055,F,본과3,5.8,3,4.1,0.0,72.9
S056,F,본과3,6.6,2,1.2,0.6,76.1
S057,M,본과1,8.2,2,1.1,2.3,88.3
S058,M,본과2,5.2,2,4.0,4.0,68.4
S059,F,예과1,6.2,1,3.7,6.2,90.5
S060,M,예과1,7.4,1,3.8,1.1,82.3
S061,M,본과2,6.7,2,4.0,4.2,77.5
S062,M,본과1,5.8,3,4.3,2.4,79.7
S063,M,본과2,6.1,2,5.4,1.8,58.1
S064,F,본과3,4.7,4,2.3,2.6,59.8
S065,F,본과2,6.0,2,2.2,2.1,81.5
S066,F,본과2,6.0,2,2.4,2.2,76.8
S067,M,본과2,6.5,2,4.4,1.4,75.7
S068,M,본과1,5.6,2,5.9,0.0,58.7
S069,M,예과1,7.0,1,3.4,0.0,78.3
S070,M,본과1,7.4,2,0.5,3.0,98.5
S071,M,예과2,6.7,1,1.4,1.6,86.9
S072,M,본과1,6.6,2,2.8,1.1,78.5
S073,M,본과4,6.3,2,3.2,2.0,73.7
S074,F,예과2,6.5,1,3.4,3.2,77.0
S075,F,예과1,5.7,2,4.1,2.3,61.2
S076,M,예과2,6.8,1,3.5,1.0,80.0
S077,M,예과2,6.4,1,5.6,3.8,80.7
S078,F,본과2,8.6,2,3.0,4.4,79.0
S079,F,본과2,8.0,2,2.7,2.7,80.9
S080,F,본과3,6.7,2,4.7,3.5,69.6
S081,M,본과2,5.4,4,1.7,3.9,71.2
S082,F,본과1,5.0,2,4.6,3.7,70.4
S083,M,본과3,7.6,2,4.2,2.9,68.2
S084,M,예과2,6.8,1,3.8,2.9,83.3
S085,M,예과1,7.0,1,6.4,2.8,80.3
S086,M,예과1,4.6,2,3.1,0.4,67.6
S087,M,본과3,7.3,2,7.1,3.1,59.4
S088,M,본과1,6.7,2,3.7,0.0,69.3
S089,F,예과2,5.3,4,2.1,0.8,81.6
S090,M,본과2,5.7,5,4.1,4.0,57.5
S091,M,예과2,6.8,1,2.4,3.3,80.4
S092,M,본과2,6.3,2,2.9,4.2,72.0
S093,M,본과1,5.9,4,4.6,1.6,76.5
S094,M,본과1,6.1,2,4.8,0.3,66.8
S095,M,본과1,6.0,2,3.1,1.6,77.1
S096,M,본과2,6.4,2,5.5,2.2,76.1
S097,F,본과1,7.9,2,5.7,2.1,89.4
S098,F,예과1,3.7,5,6.2,3.7,61.8
S099,M,예과1,6.2,1,4.8,1.5,76.3
S100,F,본과4,6.4,2,6.0,2.5,63.3
S101,F,본과4,6.6,2,1.2,0.5,86.7
S102,F,본과2,5.8,3,3.5,2.7,69.8
S103,F,예과2,4.6,1,2.7,2.0,68.0
S104,F,본과4,6.6,2,4.2,0.9,74.5
S105,F,본과3,8.2,2,3.1,1.6,74.3
S106,F,본과3,4.6,4,3.8,1.7,69.0
S107,M,본과1,7.2,2,6.8,1.6,78.9
S108,M,예과2,6.1,1,3.7,4.7,80.5
S109,M,예과1,6.4,1,4.6,1.9,66.0
S110,M,본과4,5.1,3,3.7,1.6,69.2
S111,M,본과1,5.9,2,4.1,0.0,75.3
S112,M,예과2,7.9,1,4.0,0.7,70.5
S113,F,본과1,6.9,2,4.7,1.6,69.2
S114,F,본과2,8.2,2,5.7,1.0,83.6
S115,F,예과2,7.8,1,6.5,4.1,81.8
S116,M,본과4,6.7,2,4.5,1.8,78.0
S117,M,본과3,8.2,2,4.9,3.9,94.1
S118,F,본과3,6.7,2,2.3,2.1,82.6
S119,F,본과1,7.2,2,3.9,2.1,82.6
S120,F,본과2,5.9,3,5.4,1.9,86.8
S121,F,본과2,6.3,2,5.3,2.0,71.2
S122,F,본과2,5.5,2,4.3,4.6,68.5
S123,M,예과1,7.6,1,5.3,0.0,79.8
S124,M,본과1,5.0,3,4.7,0.0,68.4
S125,M,예과1,7.4,1,5.8,1.2,73.5
S126,F,본과1,6.0,2,4.4,2.0,66.7
S127,F,본과1,7.5,2,3.5,3.0,95.8
S128,M,예과1,7.3,1,4.5,2.7,82.3
S129,F,예과1,8.5,1,0.5,1.4,86.8
S130,M,본과2,7.1,2,4.6,3.5,83.9
S131,M,예과2,4.8,2,0.5,3.5,77.0
S132,M,본과4,6.2,2,1.4,2.3,77.7
S133,M,본과2,5.0,5,4.7,3.4,72.7
S134,F,본과1,5.7,5,4.7,2.4,63.5
S135,M,본과2,7.9,2,2.3,1.2,85.9
S136,F,예과1,7.2,1,2.9,3.0,94.5
S137,F,본과4,5.5,5,6.1,2.2,70.6
S138,M,본과1,5.1,2,3.3,2.0,68.9
S139,M,본과3,6.3,2,7.4,4.2,67.8
S140,F,예과1,5.2,1,4.0,0.0,67.0
S141,M,본과1,5.5,2,4.6,0.0,66.8
S142,F,본과1,6.6,2,6.4,0.2,67.6
S143,M,본과4,7.5,2,4.2,1.5,84.5
S144,F,본과2,6.9,2,2.5,1.6,69.3
S145,F,본과1,3.7,2,3.8,0.0,67.4
S146,M,예과2,6.8,1,3.9,0.5,74.8
S147,M,본과1,6.3,2,2.0,0.7,79.5
S148,F,본과2,6.7,2,3.6,5.7,74.1
S149,M,본과1,8.0,2,2.9,4.7,94.7
S150,M,예과1,4.2,1,5.4,1.4,71.9
S151,M,본과3,5.6,3,4.1,1.5,76.9
S152,M,본과4,6.9,2,3.6,0.3,67.2
S153,F,예과1,4.8,2,3.8,0.0,73.1
S154,F,본과2,7.9,2,4.3,1.8,83.0
S155,M,예과1,6.9,1,4.9,0.5,66.0
S156,F,본과2,7.2,2,2.5,1.9,80.9
S157,M,예과2,5.9,3,2.4,0.0,77.5
S158,M,본과2,7.1,2,5.7,0.9,77.5
S159,F,본과3,7.4,2,3.4,2.2,81.9
S160,F,본과3,6.5,2,1.9,2.5,81.7
S161,M,예과1,6.8,1,4.7,2.6,86.5
S162,M,본과4,6.5,2,4.7,0.0,79.9
S163,M,예과2,5.6,1,1.7,3.3,61.3
S164,F,예과1,6.3,1,4.3,0.8,72.7
S165,M,본과2,6.1,2,5.1,2.9,71.8
S166,M,본과1,6.7,2,4.6,2.0,64.8
S167,F,본과3,7.3,2,4.9,0.0,76.0
S168,M,본과3,5.1,4,1.9,1.5,80.5
S169,M,본과1,6.1,2,4.5,2.5,67.1
S170,M,본과4,7.9,2,3.5,2.9,85.1
S171,M,예과2,5.7,3,3.3,1.8,69.3
S172,M,본과2,5.3,3,5.3,4.3,66.7
S173,F,예과2,6.7,1,6.2,3.5,84.4
S174,F,본과4,7.2,2,6.7,1.6,70.0
S175,F,예과2,6.5,1,6.0,3.1,77.5
S176,F,예과1,8.0,1,3.8,4.9,75.2
S177,M,본과1,7.2,2,4.5,4.9,91.7
S178,M,본과4,7.2,2,5.2,0.2,78.1
S179,F,본과4,6.9,2,4.2,0.6,74.3
S180,M,본과3,8.8,2,4.2,4.2,90.6
S181,F,본과4,6.0,2,5.2,0.4,61.3
S182,F,본과4,4.0,3,3.9,0.0,70.6
S183,M,본과2,8.0,2,2.9,1.3,81.3
S184,M,본과1,5.7,2,3.4,2.6,73.0
S185,M,본과3,6.4,2,5.0,1.8,70.2
S186,M,본과2,7.7,2,4.0,1.0,76.1
S187,M,본과1,4.5,2,4.5,1.0,69.4
S188,M,예과1,5.1,1,5.0,0.9,70.0
S189,F,본과3,4.5,3,3.4,0.7,70.8
S190,F,예과2,5.6,3,5.1,5.4,74.8
S191,F,본과4,6.7,2,4.6,2.4,79.1
S192,M,예과2,7.1,1,2.1,3.3,81.7
S193,M,예과1,6.8,1,6.2,1.3,87.1
S194,M,본과3,4.7,4,3.2,1.7,59.7
S195,M,예과2,4.0,4,1.5,0.9,77.4
S196,F,예과2,6.6,1,2.4,0.0,86.4
S197,M,본과2,5.7,4,2.5,0.0,68.0
S198,M,본과4,6.8,2,4.1,0.0,87.9
S199,F,예과2,7.3,1,3.6,0.0,85.1
S200,M,본과1,6.4,2,3.5,0.2,80.1
